DESTINATION,SERVICE_NAME,RATING,WEIGHTAGE,COUNT,CATEGORY,CHECK_VALUE
"Munnar, Kerala, India",futureservicedummy,0,0,2857,Attraction,0
"Munnar, Kerala, India",Double-Standard,4.7,15,39,Hotel,2749.5
"Munnar, Kerala, India",8AM-12PM,0,1,535,Attraction,0
"Munnar, Kerala, India",4PM-8PM,0,1,535,Attraction,0
"Munnar, Kerala, India",0,0,3,3864,Attraction,0
"Munnar, Kerala, India",Leave Airport,0,0,3864,Attraction,0
"Munnar, Kerala, India",Reach Airport,0,0,867,Attraction,0
"Munnar, Kerala, India","restaurant,food",3.8,0,4583,Hotel,0
"Malé, Maldives",Hulhumale,4.4,10,38,Attraction,1672
"Malé, Maldives",Artificial Beach,4.1,9,38,Attraction,1402.2
"Malé, Maldives",Grand Friday Mosque,4.6,10,38,Attraction,1748
"Malé, Maldives",National Museum,4.2,9,38,Attraction,1436.4
"Malé, Maldives",Tsunami Monument,4.2,9,37,Attraction,1398.6
"Malé, Maldives",Sultan Park,4.2,8,38,Attraction,1276.8
"Malé, Maldives",China-Maldives Friendship Bridge,4.6,8,38,Attraction,1398.4
"Malé, Maldives",Sheraton Maldives Full Moon Resort & Spa,4.6,10,38,Hotel,1748
"Malé, Maldives",8AM-12PM,0,1,535,Attraction,0
"Malé, Maldives",4PM-8PM,0,1,535,Attraction,0
"Malé, Maldives",0,0,3,3864,Attraction,0
"Malé, Maldives",Leave Airport,0,0,3864,Attraction,0
"Malé, Maldives",Reach Airport,0,0,867,Attraction,0
"Malé, Maldives","cafe,restaurant,food,store",4.2,0,679,Hotel,0
"Alleppey, Kerala, India",futureservicedummy,4.3,17,2857,Attraction,208846.7
"Alleppey, Kerala, India",futureservicedummy,4.7,16,2857,Attraction,214846.4
"Alleppey, Kerala, India",futureservicedummy,4.7,14,2857,Attraction,187990.6
"Alleppey, Kerala, India",8AM-12PM,0,1,535,Attraction,0
"Alleppey, Kerala, India",4PM-8PM,0,1,535,Attraction,0
"Alleppey, Kerala, India",0,0,3,3864,Attraction,0
"Alleppey, Kerala, India",Leave Airport,0,0,3864,Attraction,0
"Alleppey, Kerala, India",Reach Airport,0,0,867,Attraction,0
"Alleppey, Kerala, India",futureservicedummy,4.3,17,2857,Attraction,208846.7
"Alleppey, Kerala, India",futureservicedummy,4.7,16,2857,Attraction,214846.4
"Alleppey, Kerala, India",futureservicedummy,4.7,14,2857,Attraction,187990.6
"Alleppey, Kerala, India",8AM-12PM,0,1,535,Attraction,0
"Alleppey, Kerala, India",4PM-8PM,0,1,535,Attraction,0
"Alleppey, Kerala, India",0,0,3,3864,Attraction,0
"Alleppey, Kerala, India",Leave Airport,0,0,3864,Attraction,0
"Alleppey, Kerala, India",Reach Airport,0,0,867,Attraction,0
"Alleppey, Kerala, India",futureservicedummy,4.3,17,2857,Attraction,208846.7
"Alleppey, Kerala, India",futureservicedummy,4.7,16,2857,Attraction,214846.4
"Alleppey, Kerala, India",futureservicedummy,4.7,14,2857,Attraction,187990.6
"Alleppey, Kerala, India",8AM-12PM,0,1,535,Attraction,0
"Alleppey, Kerala, India",4PM-8PM,0,1,535,Attraction,0
"Alleppey, Kerala, India",0,0,3,3864,Attraction,0
"Alleppey, Kerala, India",Leave Airport,0,0,3864,Attraction,0
"Alleppey, Kerala, India",Reach Airport,0,0,867,Attraction,0
"Goa, India",Majorda beach ,4.5,10,157,Attraction,7065
"Goa, India",Miramar Beach,4.5,10,6,Attraction,270
"Goa, India",Querim  beach,3.8,10,304,Attraction,11552
"Goa, India",8AM-12PM,0,1,535,Attraction,0
"Goa, India",4PM-8PM,0,1,535,Attraction,0
"Goa, India",0,0,3,3864,Attraction,0
"Goa, India",Leave Airport,0,0,3864,Attraction,0
"Goa, India",Reach Airport,0,0,867,Attraction,0
"Goa, India","restaurant,bar,food",4.5,0,240,Hotel,0
"Delhi, India",HP Reef,4.5,10,71,Attraction,3195
"Delhi, India",Double-Deluxe Room,3.8,7,22,Hotel,585.2
"Delhi, India",8AM-12PM,0,1,535,Attraction,0
"Delhi, India",4PM-8PM,0,1,535,Attraction,0
"Delhi, India",0,0,3,3864,Attraction,0
"Delhi, India",Leave Airport,0,0,3864,Attraction,0
"Delhi, India",Reach Airport,0,0,867,Attraction,0
"Delhi, India","restaurant,food,store",4.2,0,107,Hotel,0
"Delhi, India",HP Reef,4.5,10,71,Attraction,3195
"Delhi, India",Double-Deluxe Room,3.8,7,22,Hotel,585.2
"Delhi, India",8AM-12PM,0,1,535,Attraction,0
"Delhi, India",4PM-8PM,0,1,535,Attraction,0
"Delhi, India",0,0,3,3864,Attraction,0
"Delhi, India",Leave Airport,0,0,3864,Attraction,0
"Delhi, India",Reach Airport,0,0,867,Attraction,0
"Delhi, India","restaurant,food,store",4.2,0,107,Hotel,0
"Delhi, India",HP Reef,4.5,10,71,Attraction,3195
"Delhi, India",futureservicedummy,0,0,2857,Attraction,0
"Delhi, India",Double-Deluxe Room,3.8,7,22,Hotel,585.2
